Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
W1100x607,,3.73,33.16,77700.0,16200.0,28500.0,457.0,33000.0,635.0,3100.0,90.4,4890.0,57900.0,186000.0,1138.0,410.0,55.0,31.0,87.0
W1100x548,,4.07,36.71,70300.0,14600.0,25800.0,455.0,29700.0,564.0,2770.0,89.60000000000001,4360.0,43400.0,164000.0,1128.0,407.0,50.0,28.0,82.0
W1100x499,,4.5,39.54,63500.0,12900.0,23100.0,451.0,26600.0,500.0,2470.0,88.7,3870.0,31100.0,144000.0,1118.0,405.0,45.0,26.0,77.0
W1100x433,,5.03,46.73,55100.0,11300.0,20300.0,452.0,23200.0,434.0,2160.0,88.7,3360.0,21200.0,124000.0,1108.0,402.0,40.0,22.0,72.0
W1100x390,,5.56,51.4,49700.0,10100.0,18300.0,450.0,20800.0,385.0,1920.0,88.0,2990.0,15600.0,109000.0,1100.0,400.0,36.0,20.0,68.0
W1100x343,,6.45,57.11,43600.0,8670.0,15900.0,446.0,18100.0,331.0,1660.0,87.10000000000001,2570.0,10300.0,92900.0,1090.0,400.0,31.0,18.0,63.0
W1000x976,,2.38,18.56,124000.0,23500.0,42400.0,435.0,50300.0,1190.0,5540.0,97.7,8840.0,244000.0,307000.0,1108.0,428.0,89.9,50.0,121.0
W1000x883,,2.59,20.4,113000.0,21000.0,38400.0,432.0,45300.0,1050.0,4950.0,96.60000000000001,7870.0,185000.0,268000.0,1092.0,424.0,82.0,45.5,114.0
W1000x748,,2.98,23.79,95300.0,17300.0,32400.0,426.0,37900.0,851.0,4080.0,94.5,6460.0,116000.0,212000.0,1068.0,417.0,70.0,39.0,102.0
W1000x642,,3.43,27.29,81800.0,14500.0,27700.0,421.0,32100.0,703.0,3410.0,92.7,5380.0,73800.0,172000.0,1048.0,412.0,60.0,34.0,92.0
W1000x591,,3.66,29.94,75300.0,13300.0,25600.0,421.0,29500.0,640.0,3130.0,92.2,4920.0,59000.0,155000.0,1040.0,409.0,55.9,31.0,87.0
W1000x554,,3.92,31.46,70600.0,12300.0,23900.0,418.0,27500.0,591.0,2900.0,91.5,4550.0,48300.0,142000.0,1032.0,408.0,52.0,29.5,84.0
W1000x539,,3.98,32.67,68700.0,12000.0,23400.0,418.0,26800.0,576.0,2830.0,91.60000000000001,4440.0,45300.0,138000.0,1030.0,407.0,51.1,28.4,83.0
W1000x483,,4.39,36.54,61500.0,10700.0,20900.0,417.0,23900.0,507.0,2510.0,90.80000000000001,3920.0,33100.0,120000.0,1020.0,404.0,46.0,25.4,78.0
W1000x443,,4.8,39.33,56400.0,9670.0,19100.0,414.0,21800.0,455.0,2260.0,89.80000000000001,3530.0,25400.0,107000.0,1012.0,402.0,41.9,23.6,73.0
W1000x412,,5.03,43.98,52500.0,9100.0,18100.0,416.0,20500.0,434.0,2160.0,90.9,3350.0,21400.0,102000.0,1008.0,402.0,40.0,21.1,72.0
W1000x371,,5.54,48.83,47300.0,8140.0,16300.0,415.0,18400.0,386.0,1930.0,90.30000000000001,2980.0,15900.0,89600.0,1000.0,400.0,36.1,19.0,68.0
W1000x321,,6.45,56.24,40900.0,6960.0,14100.0,413.0,15800.0,331.0,1660.0,90.0,2550.0,10300.0,76100.0,990.0,400.0,31.0,16.5,63.0
W1000x296,,7.38,56.23,37800.0,6200.0,12600.0,405.0,14300.0,290.0,1450.0,87.60000000000001,2240.0,7640.0,66000.0,982.0,400.0,27.1,16.5,59.0
W1000x584,,2.45,25.78,74400.0,12500.0,23600.0,409.0,28000.0,334.0,2130.0,67.0,3470.0,71500.0,82200.0,1056.0,314.0,64.0,36.0,96.0
W1000x494,,2.86,29.94,62900.0,10300.0,19800.0,404.0,23400.0,268.0,1740.0,65.3,2820.0,44000.0,64700.0,1036.0,309.0,54.0,31.0,86.0
W1000x486,,2.85,30.93,61900.0,10200.0,19700.0,406.0,23200.0,266.0,1730.0,65.5,2790.0,42900.0,64100.0,1036.0,308.0,54.1,30.0,86.0
W1000x438,,3.11,34.5,55600.0,9090.0,17700.0,404.0,20700.0,234.0,1530.0,64.8,2460.0,31800.0,55700.0,1026.0,305.0,49.0,26.9,81.0
